date,desc,title
"This has been most anxious, stressful, hair pulling, banging my head in the wall experience I ever had. First they offered me a loan and then after I submitted all the documents some bot William kept emailing saying I didn't submit all the documents. I kept responding by attaching the same documents again and again just to get automated response saying that my question is forwarded to next available representative. When I finally got to talk to someone, they read your emails half way only and provide nonsense answer and they didn't even look at the previous email they sent me which is in the sane thread. Each time they ask for more documents ( some my bank says they don't provide) and they say if I can't provide the documents then their initial offer of 16 percent interest will be 29 percent interest ( which is same as my credit card which I am trying to pay off by lowering interest rate). Oh yeah and bot William is still sending me same email. Some of their customer service representatives are quite illiterate and speak to you like we are on a bazaar not like we are dealing with professional financial institution. I counted on that money due to their promise and it gas been a nightmare.","Jul 30, 2021",Horrible experience
Super easy and fast!!,"Jul 30, 2021",Simple and Fast
"Have borrowed three times from Upstart. They are transparent, efficient, and fair.","Jul 29, 2021",Another Good Upstart Experience
Process was very quick and easy!,"Jul 29, 2021",Outstanding
This was a very quick and easy process,"Jul 28, 2021",wonderful
easiest experience I have ever had. and the information is clear and to the point,"Jul 29, 2021",wonderful
Fast and easy process.,"Jul 29, 2021",Fast and easy process.
Very fast and easy to apply,"Jul 28, 2021",Fast
Wow I can't believe it this is like an awesome opportunity starting to get into a little bit of investing while I have a good job hoping this helps it was a credibly helpful,"Jul 27, 2021",Loved it couldn't ask for anything better I apprec
Great customer service! Quick application process…,"Jul 27, 2021",Lifesaver
This a legitimate company that is trying to help people get the financial assistance they are needing. They consider more than just a credit score when lending funds.,"Jul 27, 2021",Great company!!
Origination fee wasn't great BUT very fast application and approval. Have used lending club as well. Upstart was an even easier application. Best advice for high rates is pay off faster than the term of loan and pay down those credit cards.,"Jul 25, 2021",Super quick application and approval
Upstart was very quick and easy to apply and approval. I would highly recommend.,"Jul 26, 2021",Awesome
Customer service was excellent!! The process was seamless. Highly recommended,"Jul 26, 2021",Seamless process
Approved in only 3 days! Very quick and easy process. Verification call was very pleasant; Wonderful staff!,"Jul 24, 2021",Great Experience!
Fast approval,"Jul 23, 2021",Great
Phenomenal! I want to rebuild my credit and this was the last step! It was fast and reasonable! I highly recommend Upstart!,"Jul 24, 2021",Excellent lending choice!
Very nice to work with! Fast response time! User friendly.,"Jul 22, 2021",Awesome lender
This was a very pleasurable experience. I am consolidating my credit card and another personal loan to a more manageable payment.,"Jul 23, 2021",Pleasurable Experience
i got approved in 4 hrs,"Jul 22, 2021",very fast and easy
"Easy application and I got the consolidation loan fast, but then it went downhill from there. Their system was broken so it wouldn't accept any of my credit cards to be paid off. Then it took a week to hear from them and instead of fixing the problem, they cancelled the loan. They are so unprofessional that I worried they are going out of business. Not worth the risk to deal with them.","Jul 21, 2021",Too risky to deal with their difunctional system.
This is an incomplete review. I am about to receive my funds. But the timeliness of the response and the terms of my debt consolidation loan seem to be pretty on track and exactly as described so far. I will be back with a timely update.,"Jul 22, 2021",TO BE CONTINUED....
"I just have to say that I didn’t think I would be approved for the loan, however I was! I’m excited to start over again and given a chance to prove my credit worthiness. I’m satisfied and glad I took my brother’s advice to give Upstart a try. Again, glad I did.","Jul 21, 2021",Second Chances at its best
Easiest process ever.,"Jul 21, 2021",Easy peasy
Easy and quick! What I love about a company!!,"Jul 19, 2021",Easy and Painless!
This lender is very customer friendly and don't make you feel bad about your financial situation.,"Jul 20, 2021",I was about to get a loan within one day.
"I will say I was skeptical at first. The process seemed too easy. Apply, approved, money deposited. It was that simple. I was a satisfied customer and will recommend you guys to my friends.","Jul 20, 2021",Simple
"This is the second Upstart loan I was approved for. The application process is quick and painless and I received the funds in about a day. My credit is fair so I expected a higher interest rate, but it was still fairly reasonable.","Jul 19, 2021",Great Experience - Twice!
Process was well explained and laid out. Easy to understand terms and conditions and the apr rate was reasonable.,"Jul 19, 2021",Helpful
Fast easy process. Reasonable Payments. Payment date flexibility.,"Jul 19, 2021",Upstart Review
I needed to consolidate some payments from being ill. It was very easy and seemless experience!,"Jul 18, 2021",Very pleasant and easy
"Upstart was very helpful to my financial benefit, quick approval,","Jul 17, 2021",Love it
Super easy. Not a stressful experience!!!!,"Jul 16, 2021",No stress!
I applied for a loan and they approved me. It was right on tine..,"Jul 16, 2021",Glad to get approved
Only lender that took a chance to approve my loan AND offered a great APR%. Now I can pay my debit off and have a lower payment.,"Jul 16, 2021",A great company to work with
Quick and easy process. Applied and was approved within 15 minutes. Loan terms are clearly laid out and explained.,"Jul 15, 2021","Easy, Simple Process!"
"I found this process to be quick, user friendly, and easy.","Jul 15, 2021",Best Choice Made
Easy and great process,"Jul 14, 2021",Easy to get it done
I was able to get a personal loan in a matter of a day.,"Jul 14, 2021",Easy Process
"The time it took and the customer service was excellent. They did not give me a hard time, I knew I was approved within minutes. I would totally recommend to others.","Jul 14, 2021",Personal Loan
Very good,"Jul 13, 2021",Great
This was very easy and convenient thank you for believing in me and helping pay off some bills,"Jul 13, 2021",Awesome
So easy. Applied and approved the same day.,"Jul 13, 2021",So easy
The best and easiest funding ever!!! So great to deal with an amazing fast lender!! I’ll definitely do all my financial business with them!,"Jul 12, 2021",The best financial loan company
"I’m an introvert. This was the fastest loan I have ever done without talking to anyone. I felt super safe knowing I used a recommendation from Credit Karma, otherwise I would think this process was way to easy.","Jul 12, 2021","Quick, Easy, Perfect for Introverts"
Upstart's approval process was very quick.,"Jul 12, 2021",Quick Approval Process
Very easy to apply!,"Jul 11, 2021",Very Easy to apply and get approved
Extremely simple online process to help one who is dealing with high interest debts,"Jul 10, 2021",Positive Solution
"very quick process, i applied last night 7/8/2021. spoke with a rep this morning to confirm that everything was submitted correctly and then received an email today 7/9/2021 that it was approved. Also before this i had applied 4xs with netcredit and they kept withdrawing my application because "" they took too long to get to it"" so i said forget it, went onto credit karma and seen that Upstart was avaialable. Also the representative that i spoke with @ Upstart was the most sweetest person ever!! Thank you for being kind, you have no idea how much that meant to me.","Jul 09, 2021",Best Loan experience
Super easy process to go through. Helpful during a true time of need. Thank you Upstart and credit karma!,"Jul 09, 2021",Awesome
"Easy application, quick approval","Jul 08, 2021",Quick and easy!
The easiest loan I have ever gotten! Would definately recommend and would use again!,"Jul 08, 2021",Quick process
I love how easy and quick it is to apply for a loan from Upstart. They are also quick to let you know if your loan is approved and to get you your funds if you are. I am always happy to recommend them to my friends and family!,"Jul 08, 2021",Wonderful Experience
Good,"Jul 07, 2021",Good
The process was fast and easy.,"Jul 07, 2021",loan
"Quick, easy and simple. I’m very grateful to have this loan.","Jul 07, 2021",Happy customer
"Process did take a week, verification questions are a little repetitive, but overall very professional.","Jul 06, 2021",Very Professional
Approved me right away,"Jul 06, 2021",Loan
"Super Fast !! Very considerate to people rebuilding credit. the interest was very reasonable for not having tier one credit. They also let me think about my rates without calling me at all to pressure me. other companies called me 5 times in a day after pre approval, not Upstart A+","Jul 05, 2021",Great Option for People Rebuilding
so easy,"Jul 05, 2021",upstart is great!!
"The application process was very easy. I had to call in a couple times to provide verification information, and everyone I talked to was very professional and knowledgeable, and my calls were handled quickly.","Jul 04, 2021",Easy company to work with
was easy to understand and rates are very reasonable,"Jul 03, 2021",good
"Guick,helpful,friendly!","Jul 03, 2021",Pleasant
I applied and got a response immediately and was able to complete the whole process. The only draw back is the origination fee which we have to pay for and not have access to. Other then that the whole process was easy and quick and is a great way for someone to pay off credit cards or consolidate their debt.,"Jul 02, 2021",Quick and Easy
"Wow, this was so easy! I never thought that I would have been able to qualify. Thank you.","Jul 01, 2021",Quick and easy
Fast and easy!!,"Jul 01, 2021",❤️❤️❤️
Great opportunity to bring financial back on track .,"Jul 01, 2021",Easy and fast
We are in the process of doing some home improvements to sell our house. Used Upstart to consolidate the Credit Card Debt that we originally used to pay for the improvements and lower our monthly bills. Process was quick and painless and funds were quickly available.,"Jun 30, 2021",Home Improvement Loans
Excellent services!,"Jun 30, 2021",Highly Recommended
"Easy process, great communications through out the application","Jun 30, 2021",Ease of use
"When most companies turned me down , they didn’t and have been fabulous! I have decent credit with a fairly poor “old credit “ on my file. They have me a second chance. Would recommend to anyone!","Jun 29, 2021",Awesome company to work with!!
This was so quick and easy!!,"Jun 29, 2021",Loved it
Easy to apply very little paperwork all while sitting having morning coffee,"Jun 29, 2021",Loans made easy
So fast and easy approval process.,"Jun 28, 2021",Wonderful!
"Friendly, efficient, helpful just remember to not use the cards you are paying off.","Jun 28, 2021",Easy to apply
Super easy application process,"Jun 28, 2021",Great lender
Upstart has excellent customer service!! Easy approval process but a pretty high interest rate.,"Jun 26, 2021",Great Service!
Very easy to work with and user friendly site.,"Jun 25, 2021",Great Experience!
was very fast,"Jun 25, 2021",great
I applied for an Upstart loan to pay down some of my credit card balances and pay off my auto loan. The application process was very easy. The communication was great and this could not have come at a better time.,"Jun 24, 2021",Right On Time
I highly recommend Upstart. They were willing to take a chance with me when I was a retired applicant. They process was effortless and expedient. The money showed up in my account with no hassles!,"Jun 24, 2021",Hassle Free Loan
Very good,"Jun 23, 2021",Was so happy
I needed 4000 this company help me to get it i just want to say thank you i gave them 5 stars,"Jun 23, 2021",i need money for house improvement they help me
Thank you credit Karma for this recommendation. The process was easy and right on it.,"Jun 22, 2021","I truly enjoyed it, everyone were so helpful"
"The real deal, looked at more than just my poor credit score. This was easy, all online, able to get loan processed quickly and easily! Now I can pay off and pay down some of my harmful credit pieces!!","Jun 22, 2021",Easy and Affordable!!
Easy process. Great customer service. Website is user friendly. 2 loans from Upstart and have never had problems even with low credit.,"Jun 22, 2021",Awesome
Upstart helped me out with a loan to pay some unexpected expenses.,"Jun 21, 2021",Very easy to work with.
Very user friendly and straight to the point. Would recommend,"Jun 21, 2021",Easy Breezy
Every step was so easy and quick… this loan really helped my family in our time of need.,"Jun 20, 2021",Best Emergency Loan
