date,desc,dislikes,likes,title
"Jul 27, 2021",This a legitimate company that is trying to help people get the financial assistance they are needing. They consider more than just a credit score when lending funds.,0,0,Great company!!
"Jul 25, 2021",Origination fee wasn't great BUT very fast application and approval. Have used lending club as well. Upstart was an even easier application. Best advice for high rates is pay off faster than the term of loan and pay down those credit cards.,0,0,Super quick application and approval
"Jul 26, 2021",Upstart was very quick and easy to apply and approval. I would highly recommend.,0,0,Awesome
"Jul 26, 2021",Customer service was excellent!! The process was seamless. Highly recommended,1,1,Seamless process
"Jul 24, 2021",Approved in only 3 days! Very quick and easy process. Verification call was very pleasant; Wonderful staff!,1,1,Great Experience!
"Jul 23, 2021",Fast approval,0,0,Great
"Jul 24, 2021",Phenomenal! I want to rebuild my credit and this was the last step! It was fast and reasonable! I highly recommend Upstart!,0,0,Excellent lending choice!
"Jul 22, 2021",Very nice to work with! Fast response time! User friendly.,0,0,Awesome lender
"Jul 23, 2021",This was a very pleasurable experience. I am consolidating my credit card and another personal loan to a more manageable payment.,0,0,Pleasurable Experience
"Jul 22, 2021",i got approved in 4 hrs,0,0,very fast and easy
"Jul 21, 2021","Easy application and I got the consolidation loan fast, but then it went downhill from there. Their system was broken so it wouldn't accept any of my credit cards to be paid off. Then it took a week to hear from them and instead of fixing the problem, they cancelled the loan. They are so unprofessional that I worried they are going out of business. Not worth the risk to deal with them.",2,2,Too risky to deal with their difunctional system.
"Jul 22, 2021",This is an incomplete review. I am about to receive my funds. But the timeliness of the response and the terms of my debt consolidation loan seem to be pretty on track and exactly as described so far. I will be back with a timely update.,0,0,TO BE CONTINUED....
"Jul 21, 2021","I just have to say that I didn’t think I would be approved for the loan, however I was! I’m excited to start over again and given a chance to prove my credit worthiness. I’m satisfied and glad I took my brother’s advice to give Upstart a try. Again, glad I did.",0,0,Second Chances at its best
"Jul 21, 2021",Easiest process ever.,0,0,Easy peasy
"Jul 19, 2021",Easy and quick! What I love about a company!!,0,0,Easy and Painless!
"Jul 20, 2021",This lender is very customer friendly and don't make you feel bad about your financial situation.,0,0,I was about to get a loan within one day.
"Jul 20, 2021","I will say I was skeptical at first. The process seemed too easy. Apply, approved, money deposited. It was that simple. I was a satisfied customer and will recommend you guys to my friends.",1,1,Simple
"Jul 19, 2021","This is the second Upstart loan I was approved for. The application process is quick and painless and I received the funds in about a day. My credit is fair so I expected a higher interest rate, but it was still fairly reasonable.",0,0,Great Experience - Twice!
"Jul 19, 2021",Process was well explained and laid out. Easy to understand terms and conditions and the apr rate was reasonable.,0,0,Helpful
"Jul 19, 2021",Fast easy process. Reasonable Payments. Payment date flexibility.,0,0,Upstart Review
"Jul 18, 2021",I needed to consolidate some payments from being ill. It was very easy and seemless experience!,0,0,Very pleasant and easy
"Jul 17, 2021","Upstart was very helpful to my financial benefit, quick approval,",0,0,Love it
"Jul 16, 2021",Super easy. Not a stressful experience!!!!,0,0,No stress!
"Jul 16, 2021",I applied for a loan and they approved me. It was right on tine..,0,0,Glad to get approved
"Jul 16, 2021",Only lender that took a chance to approve my loan AND offered a great APR%. Now I can pay my debit off and have a lower payment.,0,0,A great company to work with
"Jul 15, 2021",Quick and easy process. Applied and was approved within 15 minutes. Loan terms are clearly laid out and explained.,0,0,"Easy, Simple Process!"
"Jul 15, 2021","I found this process to be quick, user friendly, and easy.",0,0,Best Choice Made
"Jul 14, 2021",Easy and great process,0,0,Easy to get it done
"Jul 14, 2021",I was able to get a personal loan in a matter of a day.,0,0,Easy Process
"Jul 14, 2021","The time it took and the customer service was excellent. They did not give me a hard time, I knew I was approved within minutes. I would totally recommend to others.",0,0,Personal Loan
"Jul 13, 2021",Very good,0,0,Great
"Jul 13, 2021",This was very easy and convenient thank you for believing in me and helping pay off some bills,0,0,Awesome
"Jul 13, 2021",So easy. Applied and approved the same day.,0,0,So easy
"Jul 12, 2021",The best and easiest funding ever!!! So great to deal with an amazing fast lender!! I’ll definitely do all my financial business with them!,0,0,The best financial loan company
"Jul 12, 2021","I’m an introvert. This was the fastest loan I have ever done without talking to anyone. I felt super safe knowing I used a recommendation from Credit Karma, otherwise I would think this process was way to easy.",0,0,"Quick, Easy, Perfect for Introverts"
"Jul 12, 2021",Upstart's approval process was very quick.,1,1,Quick Approval Process
"Jul 11, 2021",Very easy to apply!,0,0,Very Easy to apply and get approved
"Jul 10, 2021",Extremely simple online process to help one who is dealing with high interest debts,0,0,Positive Solution
"Jul 09, 2021","very quick process, i applied last night 7/8/2021. spoke with a rep this morning to confirm that everything was submitted correctly and then received an email today 7/9/2021 that it was approved. Also before this i had applied 4xs with netcredit and they kept withdrawing my application because "" they took too long to get to it"" so i said forget it, went onto credit karma and seen that Upstart was avaialable. Also the representative that i spoke with @ Upstart was the most sweetest person ever!! Thank you for being kind, you have no idea how much that meant to me.",0,0,Best Loan experience
"Jul 09, 2021",Super easy process to go through. Helpful during a true time of need. Thank you Upstart and credit karma!,0,0,Awesome
"Jul 08, 2021","Easy application, quick approval",0,0,Quick and easy!
"Jul 08, 2021",The easiest loan I have ever gotten! Would definately recommend and would use again!,2,2,Quick process
"Jul 08, 2021",I love how easy and quick it is to apply for a loan from Upstart. They are also quick to let you know if your loan is approved and to get you your funds if you are. I am always happy to recommend them to my friends and family!,0,0,Wonderful Experience
"Jul 07, 2021",Good,0,0,Good
"Jul 07, 2021",The process was fast and easy.,0,0,loan
"Jul 07, 2021","Quick, easy and simple. I’m very grateful to have this loan.",0,0,Happy customer
"Jul 06, 2021","Process did take a week, verification questions are a little repetitive, but overall very professional.",1,1,Very Professional
"Jul 06, 2021",Approved me right away,1,1,Loan
"Jul 05, 2021","Super Fast !! Very considerate to people rebuilding credit. the interest was very reasonable for not having tier one credit. They also let me think about my rates without calling me at all to pressure me. other companies called me 5 times in a day after pre approval, not Upstart A+",2,2,Great Option for People Rebuilding
"Jul 05, 2021",so easy,0,0,upstart is great!!
"Jul 04, 2021","The application process was very easy. I had to call in a couple times to provide verification information, and everyone I talked to was very professional and knowledgeable, and my calls were handled quickly.",0,0,Easy company to work with
"Jul 03, 2021",was easy to understand and rates are very reasonable,1,1,good
"Jul 03, 2021","Guick,helpful,friendly!",0,0,Pleasant
"Jul 02, 2021",I applied and got a response immediately and was able to complete the whole process. The only draw back is the origination fee which we have to pay for and not have access to. Other then that the whole process was easy and quick and is a great way for someone to pay off credit cards or consolidate their debt.,1,1,Quick and Easy
"Jul 01, 2021","Wow, this was so easy! I never thought that I would have been able to qualify. Thank you.",0,0,Quick and easy
"Jul 01, 2021",Fast and easy!!,0,0,❤️❤️❤️
"Jul 01, 2021",Great opportunity to bring financial back on track .,0,0,Easy and fast
"Jun 30, 2021",We are in the process of doing some home improvements to sell our house. Used Upstart to consolidate the Credit Card Debt that we originally used to pay for the improvements and lower our monthly bills. Process was quick and painless and funds were quickly available.,0,0,Home Improvement Loans
"Jun 30, 2021",Excellent services!,0,0,Highly Recommended
"Jun 30, 2021","Easy process, great communications through out the application",0,0,Ease of use
"Jun 29, 2021","When most companies turned me down , they didn’t and have been fabulous! I have decent credit with a fairly poor “old credit “ on my file. They have me a second chance. Would recommend to anyone!",3,3,Awesome company to work with!!
"Jun 29, 2021",This was so quick and easy!!,0,0,Loved it
"Jun 29, 2021",Easy to apply very little paperwork all while sitting having morning coffee,0,0,Loans made easy
"Jun 28, 2021",So fast and easy approval process.,0,0,Wonderful!
"Jun 28, 2021","Friendly, efficient, helpful just remember to not use the cards you are paying off.",0,0,Easy to apply
"Jun 28, 2021",Super easy application process,0,0,Great lender
"Jun 26, 2021",Upstart has excellent customer service!! Easy approval process but a pretty high interest rate.,0,0,Great Service!
"Jun 25, 2021",Very easy to work with and user friendly site.,0,0,Great Experience!
"Jun 25, 2021",was very fast,0,0,great
"Jun 24, 2021",I applied for an Upstart loan to pay down some of my credit card balances and pay off my auto loan. The application process was very easy. The communication was great and this could not have come at a better time.,0,0,Right On Time
"Jun 24, 2021",I highly recommend Upstart. They were willing to take a chance with me when I was a retired applicant. They process was effortless and expedient. The money showed up in my account with no hassles!,0,0,Hassle Free Loan
"Jun 23, 2021",Very good,0,0,Was so happy
"Jun 23, 2021",I needed 4000 this company help me to get it i just want to say thank you i gave them 5 stars,0,0,i need money for house improvement they help me
"Jun 22, 2021",Thank you credit Karma for this recommendation. The process was easy and right on it.,0,0,"I truly enjoyed it, everyone were so helpful"
"Jun 22, 2021","The real deal, looked at more than just my poor credit score. This was easy, all online, able to get loan processed quickly and easily! Now I can pay off and pay down some of my harmful credit pieces!!",0,0,Easy and Affordable!!
"Jun 22, 2021",Easy process. Great customer service. Website is user friendly. 2 loans from Upstart and have never had problems even with low credit.,0,0,Awesome
